Date,Sales
2023-05-09,124
2023-05-10,123
2023-05-11,118
2023-05-12,128
2023-05-13,123
2023-05-14,132
2023-05-15,126
2023-05-16,139
2023-05-17,128
2023-05-18,131
2023-05-19,138
2023-05-20,128
2023-05-21,137
2023-05-22,143
2023-05-23,129
2023-05-24,138
2023-05-25,139
2023-05-26,142
2023-05-27,133
2023-05-28,133
2023-05-29,142
2023-05-30,142
2023-05-31,142
2023-06-01,142
2023-06-02,137
2023-06-03,142
2023-06-04,142
2023-06-05,137
2023-06-06,150
2023-06-07,143
2023-06-08,135
2023-06-09,144
2023-06-10,135
2023-06-11,144
2023-06-12,145
2023-06-13,135
2023-06-14,144
2023-06-15,140
2023-06-16,142
2023-06-17,147
2023-06-18,135
2023-06-19,132
2023-06-20,131
2023-06-21,131
2023-06-22,133
2023-06-23,135
2023-06-24,134
2023-06-25,136
2023-06-26,131
2023-06-27,137
2023-06-28,128
2023-06-29,142
2023-06-30,130
2023-07-01,122
2023-07-02,120
2023-07-03,127
2023-07-04,123
2023-07-05,126
2023-07-06,124
2023-07-07,121
2023-07-08,116
2023-07-09,112
2023-07-10,116
2023-07-11,122
2023-07-12,118
2023-07-13,110
2023-07-14,116
2023-07-15,117
2023-07-16,110
2023-07-17,114
2023-07-18,113
2023-07-19,106
2023-07-20,113
2023-07-21,114
2023-07-22,116
2023-07-23,116
2023-07-24,103
2023-07-25,105
2023-07-26,112
2023-07-27,112
2023-07-28,112
2023-07-29,128
2023-07-30,112
2023-07-31,115
2023-08-01,114
2023-08-02,112
2023-08-03,108
2023-08-04,113
2023-08-05,106
2023-08-06,109
2023-08-07,108
2023-08-08,111
2023-08-09,123
2023-08-10,103
2023-08-11,116
2023-08-12,105
2023-08-13,112
2023-08-14,120
2023-08-15,116
2023-08-16,111
2023-08-17,113
2023-08-18,121
2023-08-19,115
2023-08-20,121
2023-08-21,121
2023-08-22,118
2023-08-23,134
2023-08-24,127
2023-08-25,115
2023-08-26,127
2023-08-27,124
2023-08-28,133
2023-08-29,125
2023-08-30,130
2023-08-31,134
2023-09-01,137
2023-09-02,128
2023-09-03,134
2023-09-04,134
2023-09-05,134
2023-09-06,148
2023-09-07,142
2023-09-08,135
2023-09-09,147
2023-09-10,154
2023-09-11,149
2023-09-12,138
2023-09-13,144
2023-09-14,154
2023-09-15,145
2023-09-16,151
2023-09-17,154
2023-09-18,146
2023-09-19,151
2023-09-20,136
2023-09-21,148
2023-09-22,152
2023-09-23,148
2023-09-24,163
2023-09-25,148
2023-09-26,154
2023-09-27,157
2023-09-28,164
2023-09-29,150
2023-09-30,163
2023-10-01,157
2023-10-02,153
2023-10-03,160
2023-10-04,159
2023-10-05,155
2023-10-06,158
2023-10-07,156
2023-10-08,158
2023-10-09,160
2023-10-10,165
2023-10-11,150
2023-10-12,167
2023-10-13,146
2023-10-14,155
2023-10-15,158
2023-10-16,156
2023-10-17,151
2023-10-18,152
2023-10-19,150
2023-10-20,149
2023-10-21,155
2023-10-22,152
2023-10-23,146
2023-10-24,153
2023-10-25,149
2023-10-26,151
2023-10-27,149
2023-10-28,141
2023-10-29,142
2023-10-30,147
2023-10-31,146
2023-11-01,142
2023-11-02,142
2023-11-03,146
2023-11-04,136
2023-11-05,141
2023-11-06,136
2023-11-07,135
2023-11-08,141
2023-11-09,139
2023-11-10,138
2023-11-11,140
2023-11-12,133
2023-11-13,135
2023-11-14,130
2023-11-15,132
2023-11-16,129
2023-11-17,130
2023-11-18,132
2023-11-19,124
2023-11-20,138
2023-11-21,122
2023-11-22,121
2023-11-23,132
2023-11-24,130
2023-11-25,129
2023-11-26,129
2023-11-27,126
2023-11-28,121
2023-11-29,126
2023-11-30,122
2023-12-01,131
2023-12-02,125
2023-12-03,122
2023-12-04,125
2023-12-05,129
2023-12-06,124
2023-12-07,123
2023-12-08,129
2023-12-09,130
2023-12-10,126
2023-12-11,127
2023-12-12,131
2023-12-13,124
2023-12-14,124
2023-12-15,129
2023-12-16,132
2023-12-17,136
2023-12-18,142
2023-12-19,140
2023-12-20,136
2023-12-21,138
2023-12-22,134
2023-12-23,140
2023-12-24,139
2023-12-25,144
2023-12-26,139
2023-12-27,147
2023-12-28,153
2023-12-29,146
2023-12-30,150
2023-12-31,152
2024-01-01,148
2024-01-02,152
2024-01-03,152
2024-01-04,154
2024-01-05,151
2024-01-06,156
2024-01-07,159
2024-01-08,165
2024-01-09,164
2024-01-10,171
2024-01-11,157
2024-01-12,167
2024-01-13,164
2024-01-14,175
2024-01-15,161
2024-01-16,162
2024-01-17,164
2024-01-18,157
2024-01-19,166
2024-01-20,165
2024-01-21,171
2024-01-22,172
2024-01-23,181
2024-01-24,176
2024-01-25,169
2024-01-26,168
2024-01-27,176
2024-01-28,167
2024-01-29,183
2024-01-30,180
2024-01-31,172
2024-02-01,166
2024-02-02,181
2024-02-03,174
2024-02-04,181
2024-02-05,166
2024-02-06,171
2024-02-07,174
2024-02-08,174
2024-02-09,171
2024-02-10,176
2024-02-11,167
2024-02-12,172
2024-02-13,172
2024-02-14,174
2024-02-15,174
2024-02-16,165
2024-02-17,162
2024-02-18,175
2024-02-19,170
2024-02-20,164
2024-02-21,174
2024-02-22,167
2024-02-23,171
2024-02-24,165
2024-02-25,174
2024-02-26,171
2024-02-27,160
2024-02-28,166
2024-02-29,163
2024-03-01,166
2024-03-02,153
2024-03-03,161
2024-03-04,162
2024-03-05,147
2024-03-06,149
2024-03-07,144
2024-03-08,152
2024-03-09,156
2024-03-10,159
2024-03-11,151
2024-03-12,158
2024-03-13,142
2024-03-14,140
2024-03-15,147
2024-03-16,149
2024-03-17,146
2024-03-18,135
2024-03-19,145
2024-03-20,138
2024-03-21,148
2024-03-22,146
2024-03-23,139
2024-03-24,141
2024-03-25,138
2024-03-26,142
2024-03-27,147
2024-03-28,137
2024-03-29,145
2024-03-30,140
2024-03-31,138
2024-04-01,142
2024-04-02,137
2024-04-03,140
2024-04-04,137
2024-04-05,153
2024-04-06,144
2024-04-07,141
2024-04-08,146
2024-04-09,145
2024-04-10,145
2024-04-11,149
2024-04-12,151
2024-04-13,145
2024-04-14,146
2024-04-15,148
2024-04-16,139
2024-04-17,143
2024-04-18,159
2024-04-19,161
2024-04-20,152
2024-04-21,158
2024-04-22,157
2024-04-23,172
2024-04-24,164
2024-04-25,158
2024-04-26,155
2024-04-27,153
2024-04-28,163
2024-04-29,160
2024-04-30,158
2024-05-01,163
2024-05-02,162
2024-05-03,177
2024-05-04,174
2024-05-05,171
2024-05-06,179
2024-05-07,173
2024-05-08,170
2024-05-09,183
2024-05-10,179
2024-05-11,172
2024-05-12,177
2024-05-13,175
2024-05-14,173
2024-05-15,186
2024-05-16,192
2024-05-17,176
2024-05-18,187
2024-05-19,181
2024-05-20,183
2024-05-21,183
2024-05-22,182
2024-05-23,188
2024-05-24,184
2024-05-25,190
2024-05-26,189
2024-05-27,188
2024-05-28,185
2024-05-29,187
2024-05-30,194
2024-05-31,193
2024-06-01,186
2024-06-02,191
2024-06-03,195
2024-06-04,183
2024-06-05,194
2024-06-06,188
2024-06-07,194
2024-06-08,187
2024-06-09,181
2024-06-10,182
2024-06-11,190
2024-06-12,191
2024-06-13,184
2024-06-14,192
2024-06-15,179
2024-06-16,187
2024-06-17,181
2024-06-18,183
2024-06-19,186
2024-06-20,180
2024-06-21,182
2024-06-22,188
2024-06-23,179
2024-06-24,186
2024-06-25,175
2024-06-26,183
2024-06-27,186
2024-06-28,166
2024-06-29,173
2024-06-30,179
2024-07-01,174
2024-07-02,176
2024-07-03,171
2024-07-04,173
2024-07-05,171
2024-07-06,177
2024-07-07,171
2024-07-08,171
2024-07-09,166
2024-07-10,165
2024-07-11,165
2024-07-12,168
2024-07-13,163
2024-07-14,166
2024-07-15,174
2024-07-16,168
2024-07-17,161
2024-07-18,168
2024-07-19,160
2024-07-20,151
2024-07-21,156
2024-07-22,151
2024-07-23,158
2024-07-24,160
2024-07-25,168
2024-07-26,161
2024-07-27,158
2024-07-28,163
2024-07-29,148
2024-07-30,160
2024-07-31,163
2024-08-01,152
2024-08-02,165
2024-08-03,161
2024-08-04,158
2024-08-05,163
2024-08-06,172
2024-08-07,162
2024-08-08,163
2024-08-09,160
2024-08-10,158
2024-08-11,167
2024-08-12,160
2024-08-13,165
2024-08-14,163
2024-08-15,169
2024-08-16,169
2024-08-17,173
2024-08-18,166
2024-08-19,168
2024-08-20,166
2024-08-21,170
2024-08-22,175
2024-08-23,178
2024-08-24,170
2024-08-25,180
2024-08-26,184
2024-08-27,180
2024-08-28,189
2024-08-29,177
2024-08-30,176
2024-08-31,174
2024-09-01,192
2024-09-02,189
2024-09-03,186
2024-09-04,189
2024-09-05,183
2024-09-06,202
2024-09-07,192
2024-09-08,193
2024-09-09,197
2024-09-10,197
2024-09-11,196
2024-09-12,192
2024-09-13,200
2024-09-14,208
2024-09-15,206
2024-09-16,208
2024-09-17,198
2024-09-18,197
2024-09-19,202
2024-09-20,203
2024-09-21,209
2024-09-22,196
2024-09-23,213
2024-09-24,205
2024-09-25,204
2024-09-26,201
2024-09-27,198
2024-09-28,211
2024-09-29,208
2024-09-30,201
2024-10-01,201
2024-10-02,206
2024-10-03,216
2024-10-04,206
2024-10-05,200
2024-10-06,206
2024-10-07,206
2024-10-08,194
2024-10-09,207
2024-10-10,205
2024-10-11,210
2024-10-12,215
2024-10-13,211
2024-10-14,203
2024-10-15,199
2024-10-16,217
2024-10-17,203
2024-10-18,203
2024-10-19,202
2024-10-20,202
2024-10-21,200
2024-10-22,197
2024-10-23,196
2024-10-24,198
2024-10-25,194
2024-10-26,193
2024-10-27,196
2024-10-28,193
2024-10-29,201
2024-10-30,179
2024-10-31,197
2024-11-01,197
2024-11-02,180
2024-11-03,187
2024-11-04,186
2024-11-05,180
2024-11-06,183
2024-11-07,180
2024-11-08,194
2024-11-09,189
2024-11-10,190
2024-11-11,186
2024-11-12,176
2024-11-13,178
2024-11-14,183
2024-11-15,174
2024-11-16,183
2024-11-17,177
2024-11-18,176
2024-11-19,181
2024-11-20,180
2024-11-21,175
2024-11-22,182
2024-11-23,171
2024-11-24,179
2024-11-25,179
2024-11-26,174
2024-11-27,177
2024-11-28,169
2024-11-29,180
2024-11-30,175
2024-12-01,173
2024-12-02,181
2024-12-03,173
2024-12-04,170
2024-12-05,169
2024-12-06,180
2024-12-07,171
2024-12-08,187
2024-12-09,168
2024-12-10,188
2024-12-11,181
2024-12-12,180
2024-12-13,179
2024-12-14,184
2024-12-15,183
2024-12-16,189
2024-12-17,185
2024-12-18,187
2024-12-19,185
2024-12-20,187
2024-12-21,190
2024-12-22,181
2024-12-23,184
2024-12-24,196
2024-12-25,194
2024-12-26,193
2024-12-27,195
2024-12-28,198
2024-12-29,195
2024-12-30,195
2024-12-31,201
